emotionclass,attacktime,zerocross,rolloff,brightness,centroid,roughness,regularity,pitch
2,0.03528776,1048.667777,3354.323871,0.318152692,1983.403416,0.002116284,0.016738853,232.2158003
2,0.031625,1360.224813,3650.737016,0.403041765,2071.452122,0.012242845,0.032114806,234.65336
2,0.035723485,1135.583333,3220.009766,0.35340069,1929.66607,9.30142e-05,0.000557608,248.8790093
2,0.0234375,939.4171524,5592.046753,0.363385807,2634.768131,0.180692341,0.045562799,468.0373671
2,0.034701754,898.3347211,3510.127556,0.321787634,2098.785231,0.0401158,0.008627274,406.2156955
2,0.02944213,1089.275604,3774.764519,0.360478974,2189.925609,0.098647923,0.021420831,412.022936
2,0.032727273,1175.670275,3759.357437,0.36739861,2122.477035,0.232831691,0.041431412,421.2303484
2,0.039352746,1273.97169,4268.562006,0.403901435,2297.41858,0.25289389,0.045889867,464.3001032
2,0.03648,1362.141667,4175.703125,0.401836628,2287.307567,0.369053603,0.136735066,542.037471
2,0.055881389,717.7268943,2054.097687,0.248469444,1277.424317,24.15969574,0.334714403,322.2863492
2,0.013391531,775.8784346,2027.10957,0.237122368,1246.560787,53.88993229,0.288938206,425.0352533
2,0.014210317,695.3705246,2182.039056,0.257487429,1290.920966,24.73516763,0.421914563,319.1878223
2,0.011969146,740.7993339,2166.983243,0.279091893,1317.709558,40.33593713,0.413956478,318.9289642
2,0.012125727,900.8992506,2205.105771,0.272214357,1333.924906,45.18942103,0.167645248,544.1670654
2,0.016427083,760.525,2282.519531,0.28111579,1311.436559,25.75833948,0.133315183,411.5011465
1,0.063694535,1216.769359,3553.538603,0.42520603,2133.517551,24.14670383,0.133911429,1184.160942
2,0.02523985,1087.019151,3888.341746,0.412283178,2154.30086,22.51313773,0.092217198,1224.225638
2,0.030144829,1119.866778,3851.360845,0.406188968,2154.207976,41.1510736,0.187141324,1049.240483
2,0.019579668,1222.248127,3353.104184,0.411286008,2035.338531,76.32060823,0.213908855,1256.147348
2,0.021454562,1198.209825,3718.405235,0.427696244,2129.884485,69.81814284,0.178145484,1267.809461
2,0.024762406,1193.908333,3719.433594,0.418280997,2103.743222,87.58238067,0.202813335,1112.34388
2,0.019714046,1864.254788,6013.943459,0.546307789,3151.33683,0.179177117,0.188895236,627.030205
2,0.02675732,1675.045795,5050.673918,0.532336411,2874.445323,0.178403048,0.189152504,1056.379115
2,0.057916667,1640.757702,5195.358035,0.502729322,2847.157701,0.043120428,0.040856939,937.8655299
2,0.035539244,1395.537052,4697.491674,0.491139485,2680.029859,0.090129189,0.058365141,263.0366633
2,0.050552083,1333.014155,4609.86938,0.468700726,2602.063325,0.089537398,0.015362794,121.810762
2,0.037512769,1234.491667,4405.986328,0.442856109,2498.722269,0.166270456,0.030868271,179.1220439
1,0.03668631,2262.131557,4833.784346,0.598658254,2755.873805,0.277947445,0.058564728,655.31078
1,0.040664352,2465.920067,5091.099214,0.604255822,2877.542332,0.464835075,0.016020895,813.6495356
